sub_id covariate1 covariate2
mom_sub1 1 0.23465555991287
mom_sub2 1 0.335078038704279
mom_sub3 0 0.330292576950047
mom_sub4 1 -0.722645806343737
mom_sub5 0 0.602031423726714
mom_sub6 0 -0.504213297459832
mom_sub7 1 -0.524801964403223
mom_sub8 0 1.50309267883516
mom_sub9 0 -0.7560204009388
mom_sub10 1 -1.76318589577118
mom_sub11 1 1.04409832423458
mom_sub12 1 -0.0823820751342015
mom_sub13 0 0.0115258294932371
mom_sub14 0 -0.56625835719139
mom_sub15 0 -1.75467991738704
mom_sub16 1 -0.915693741188545
mom_sub17 1 0.003380116005355
mom_sub18 1 -1.15184669275191
mom_sub19 1 0.618682094523486
mom_sub20 0 0.227698336818255
mom_sub21 1 -0.830076932702779
mom_sub22 1 0.427073023980082
mom_sub23 0 0.555251049056683
mom_sub24 0 -0.306236013786259
mom_sub25 0 -0.00404994956662838
mom_sub26 0 -1.91620908833809
mom_sub27 1 0.450464257140966
mom_sub28 1 -0.201439037486612
mom_sub29 0 -0.434452961236369
mom_sub30 1 0.958790328918228
mom_sub31 0 -1.8343432798312
mom_sub32 0 -0.326940513843028
mom_sub33 1 0.0688649409642426
mom_sub34 1 0.0249127622973602
mom_sub35 0 -2.10614064970319
mom_sub36 1 2.44615794950671
mom_sub37 1 0.724347323713702
mom_sub38 0 -0.710174921801965
mom_sub39 0 0.00269794333484245
mom_sub40 0 -0.960546236070794
mom_sub41 1 -0.584813471557979
mom_sub42 1 1.64440355302595
mom_sub43 0 0.0389464301733703
mom_sub44 0 0.549209787511425
mom_sub45 0 -0.6221878905371
mom_sub46 1 -0.312175166384171
mom_sub47 1 0.865364563293024
mom_sub48 0 0.97635249940144
mom_sub49 1 -1.56840957152984
mom_sub50 0 0.838620437918362
mom_sub51 0 -1.04122681582844
mom_sub52 0 0.654268419164821
mom_sub53 0 0.249245376661202
mom_sub54 1 0.112291148934126
mom_sub55 0 0.0666914445326442
mom_sub56 1 0.495163843125533
mom_sub57 0 0.582254184958229
mom_sub58 1 -0.708641606051171
mom_sub59 1 1.48584112662485
mom_sub60 1 1.01090345276808
mom_sub61 1 -0.15016367739678
mom_sub62 1 0.997949892116724
mom_sub63 0 1.21567609800226
mom_sub64 0 -0.990416775962614
mom_sub65 1 0.219906841650011
mom_sub66 1 0.469821888459071
mom_sub67 0 -0.514544655369587
mom_sub68 0 1.59691457987202
mom_sub69 1 -0.479480961239039
mom_sub70 1 0.70467383770813
mom_sub71 1 -0.819209921910508
mom_sub72 0 1.55309078225128
mom_sub73 0 0.719736450844786
mom_sub74 1 -0.906776867001496
mom_sub75 1 -1.16374229189742
mom_sub76 0 1.50122450746639
mom_sub77 0 -0.80114112204777
mom_sub78 0 0.675612946230877
mom_sub79 0 1.52969052110022
mom_sub80 0 -1.0887165524827
mom_sub81 0 0.652336210114414
mom_sub82 0 0.733350115480155
mom_sub83 0 2.30283431890659
mom_sub84 1 -0.12092795047899
mom_sub85 0 1.18641344769371
mom_sub86 0 2.08230385972124
mom_sub87 1 0.194129971257323
mom_sub88 0 -1.44365679698796
mom_sub89 1 -0.355455021131385
mom_sub90 0 -0.966398768047603
mom_sub91 0 0.729542833949621
mom_sub92 0 -1.11040626675899
mom_sub93 0 0.717178540562788
mom_sub94 1 0.808301535397037
mom_sub95 0 1.53197206477613
mom_sub96 1 -0.933285007605548
mom_sub97 0 0.201091975061703
mom_sub98 1 1.16715640337863
mom_sub99 1 -1.07657031546238
mom_sub100 0 0.853266242746068
